"Status","Street_Number","ML_Number","Street_Name","City","State","Zip_Code","Selling_Price","Listing_Price","MLS","DOM","CDOM","Ownership","Financing","CC","Contingent_Date","Pending_Date","Selling_Date","Style","Age","ROOM","BELL","MNFL","MNHF","UPFL","UPHF","Square_Footage","Basement_Square_Footage","BSMT","LOWR","LWFL","LWHF","HEAT","HETS","COOL","GRG_No","CRP_No","PRKD","MISC","KITC","LTDS","FRP_No","FPLD","FRPL" 
"Active","3754","12049286","La Somera","Hillsboro","MO","63050","","94900.00","GSTL","56","56","Private","","","","","","Split Foyer","38","6","3","0","0","1","0","","","Full, Partially Finished","0","1","0","Forced Air","Electric","Central-Electric","0","0","Off Street, Workshp/Storage Area","Utility Shed","Custom Cabinetry","Backs to Trees/Woods","0","None","None"
"Active","9393","12013416","Elm Loop","Pevely","MO","63070","","89900.00","GSTL","228","228","Private","","","","","","Ranch","53","5","3","1","0","0","0","960","","None","0","0","0","Forced Air","Electric","Ceiling Fan, Central-Electric","0","0","Off Street","","Eat-In Kitchen, Pantry","Partial Fencing","0","None","None"
"Active","8924","12046041","Griffith","Pevely","MO","63070","","95000.00","GSTL","76","76","Private","","","","","","Ranch","52","6","3","1","0","0","0","864","","Slab","0","0","0","Forced Air","Gas","Central-Electric","0","1","Additional Parking, Covered, Off Street","High Spd Connection, Utility Shed","Eat-In Kitchen","Fencing","0","None","None"
"Active","9161","12057098","Cherry","Pevely","MO","63070","","95000.00","GSTL","19","19","Private","","","","","","Ranch","","5","2","1","0","0","0","","","Concrete Block, Full, Walk-Out","0","0","0","Baseboard, Forced Air","Electric","Attic Fan, Ceiling Fan, Central-Electric","2","0","Attached Garage, Detached, Off Street, Workshp/Storage Area","Covered Porch, Home Protection Plcy, Patio","Breakfast Bar, Custom Cabinetry, Eat-In Kitchen","Backs to Trees/Woods, Suitable for Horses, Level Lot, Wooded","1","Non Functional","Living Room"
"Sold","87","11009123","Tower View","Hillsboro","MO","63050","65500.00","135000.00","GSTL","82","82","Private","Cash","0","","8/29/2011 12:00:00 AM","12/26/2011 12:00:00 AM","Split Foyer","40","5","2","1","0","0","0","","","Partial","1","1","0","Forced Air","Gas, Propane","Central-Electric","2","0","Attached Garage, Garage Door Opener","Deck, Home Protection Plcy","Eat-In Kitchen, Pantry","Fencing","0","None","None"
"Sold","1022","12006967","Sunridge Trl","Pevely","MO","63070","55000.00","60000.00","GSTL","30","30","Government","Cash","0","","3/12/2012 12:00:00 AM","4/27/2012 12:00:00 AM","Split Foyer","38","5","3","1","0","0","0","1026","","Full, Partially Finished, Walk-Out","0","0","0","Forced Air","Gas","Central-Electric","1","0","Attached Garage, Basement/Tuck-Under, Off Street","Deck","","Level Lot, Partial Fencing","0","None","None"
"Sold","536","12007725","Pevely Manor","Pevely","MO","63070","64000.00","59900.00","GSTL","40","40","Private","FHA","0","2/14/2012 12:00:00 AM","2/15/2012 12:00:00 AM","3/28/2012 12:00:00 AM","Ranch","49","6","2","1","0","0","0","594","","Partial, Poured Concrete","0","0","0","Baseboard","Other","1 Window/Wall, Ceiling Fan","2","0","Attached Garage, Garage Door Opener, Off Street, Oversize","Patio","Eat-In Kitchen","Fencing, Level Lot","0","None","None"
"Sold","885","12038122","Peggy","Pevely","MO","63070","68000.00","70000.00","GSTL","74","74","Private","FHA","0","","9/10/2012 12:00:00 AM","9/28/2012 12:00:00 AM","Split Foyer","37","8","3","0","0","1","0","","","8 ft + pour, Fireplace in LL, Lookout, Partially Finished, Poured Concrete, Rec/Family Area","0","0","1","Forced Air","Gas","Ceiling Fan, Central-Electric","2","0","Garage Door Opener, Off Street, Rear/Side Entry, Workshp/Storage Area","Deck, High Spd Connection, Home Protection Plcy, Smoke Alarm/Detec","Eat-In Kitchen","Backs to Comm. Grnd, Cul-De-Sac, Fencing, Sidewalks, Streetlights","1","Circulating Blower, Woodburning Fireplce","Family Room"
"Sold","9319","12022060","Meadowview Place","Pevely","MO","63070","85000.00","89900.00","GSTL","117","117","Private","Conventional","0","","8/8/2012 12:00:00 AM","9/4/2012 12:00:00 AM","Ranch","17","5","2","1","0","0","0","","","Space/Crawl or Other","0","0","0","Forced Air","Propane","Attic Fan, Ceiling Fan, Central-Electric","0","0","Oversize","Deck, High Spd Connection, Home Protection Plcy, Screened Porch, Utility Shed","Eat-In Kitchen","Level Lot, Partial Fencing","0","",""
