"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","395","2/15/2011 12:00:00 AM","18500.00","Active","",""
"","252","10/14/2011 12:00:00 AM","39900.00","Active","0.00",""
"","123","2/15/2012 12:00:00 AM","45000.00","Active","",""
"","10","5/9/2012 12:00:00 AM","17900.00","Active","",""
"","214","11/7/2011 12:00:00 AM","18000.00","Active","",""
"","70","4/14/2012 12:00:00 AM","27900.00","Active","",""
"","8","6/15/2012 12:00:00 AM","27900.00","Active","",""
"","116","2/28/2012 12:00:00 AM","34900.00","Active","",""
"","73","4/11/2012 12:00:00 AM","34900.00","Active","",""
"","253","6/3/2011 12:00:00 AM","35000.00","Active","",""
"","10","6/13/2012 12:00:00 AM","35000.00","Active","",""
"","170","1/2/2012 12:00:00 AM","37000.00","Active","0.00",""
"7/8/2011 12:00:00 AM","45","2/8/2011 12:00:00 AM","12500.00","Sold","10000.00","3/27/2011 12:00:00 AM"
"4/9/2012 12:00:00 AM","253","7/18/2011 12:00:00 AM","12000.00","Sold","10000.00","3/29/2012 12:00:00 AM"
"5/2/2012 12:00:00 AM","104","12/28/2011 12:00:00 AM","13900.00","Sold","10500.00","4/10/2012 12:00:00 AM"
"8/15/2011 12:00:00 AM","9","7/22/2011 12:00:00 AM","10900.00","Sold","10900.00","8/3/2011 12:00:00 AM"
"11/18/2011 12:00:00 AM","224","2/28/2011 12:00:00 AM","11900.00","Sold","11000.00","11/9/2011 12:00:00 AM"
"4/9/2012 12:00:00 AM","8","3/7/2012 12:00:00 AM","9900.00","Sold","12011.00","3/22/2012 12:00:00 AM"
"2/24/2012 12:00:00 AM","76","10/12/2011 12:00:00 AM","13728.00","Sold","12766.00","1/5/2012 12:00:00 AM"
"5/14/2012 12:00:00 AM","127","11/28/2011 12:00:00 AM","20000.00","Sold","13000.00","4/5/2012 12:00:00 AM"
"5/21/2012 12:00:00 AM","74","1/26/2012 12:00:00 AM","13005.00","Sold","13005.00","4/9/2012 12:00:00 AM"
"4/25/2012 12:00:00 AM","65","1/31/2012 12:00:00 AM","12900.00","Sold","13800.00","4/10/2012 12:00:00 AM"
"11/1/2011 12:00:00 AM","19","10/5/2011 12:00:00 AM","14400.00","Sold","14200.00","10/25/2011 12:00:00 AM"
"2/28/2012 12:00:00 AM","124","10/14/2011 12:00:00 AM","19900.00","Sold","15500.00","2/15/2012 12:00:00 AM"
"10/17/2011 12:00:00 AM","43","8/15/2011 12:00:00 AM","20950.00","Sold","17000.00","9/27/2011 12:00:00 AM"
"7/27/2011 12:00:00 AM","43","6/1/2011 12:00:00 AM","30000.00","Sold","18000.00","7/14/2011 12:00:00 AM"
"8/26/2011 12:00:00 AM","29","7/6/2011 12:00:00 AM","19900.00","Sold","18000.00","8/5/2011 12:00:00 AM"
"11/22/2011 12:00:00 AM","61","8/31/2011 12:00:00 AM","27900.00","Sold","25000.00","11/1/2011 12:00:00 AM"
"8/29/2011 12:00:00 AM","29","7/20/2011 12:00:00 AM","29900.00","Sold","26000.00","8/18/2011 12:00:00 AM"
"7/18/2011 12:00:00 AM","31","5/11/2011 12:00:00 AM","24000.00","Sold","10000.00","6/13/2011 12:00:00 AM"
"9/12/2011 12:00:00 AM","55","6/21/2011 12:00:00 AM","15200.00","Sold","11199.00","8/15/2011 12:00:00 AM"
"6/27/2011 12:00:00 AM","160","12/20/2010 12:00:00 AM","19900.00","Sold","11550.00","6/10/2011 12:00:00 AM"
"2/29/2012 12:00:00 AM","60","12/20/2011 12:00:00 AM","29900.00","Sold","17000.00","2/23/2012 12:00:00 AM"
"5/2/2012 12:00:00 AM","16","3/6/2012 12:00:00 AM","17000.00","Sold","17000.00","3/22/2012 12:00:00 AM"
"5/29/2012 12:00:00 AM","20","4/13/2012 12:00:00 AM","15000.00","Sold","17150.00","5/24/2012 12:00:00 AM"
"11/4/2011 12:00:00 AM","116","6/29/2011 12:00:00 AM","27900.00","Sold","17500.00","10/24/2011 12:00:00 AM"
"1/31/2012 12:00:00 AM","16","12/20/2011 12:00:00 AM","18950.00","Sold","18300.00","1/5/2012 12:00:00 AM"
"1/4/2012 12:00:00 AM","20","10/14/2011 12:00:00 AM","24900.00","Sold","21000.00","12/19/2011 12:00:00 AM"
"6/13/2012 12:00:00 AM","28","1/30/2012 12:00:00 AM","20999.00","Sold","21000.00","5/15/2012 12:00:00 AM"
"10/27/2011 12:00:00 AM","150","4/25/2011 12:00:00 AM","29900.00","Sold","22000.00","10/12/2011 12:00:00 AM"
"5/22/2012 12:00:00 AM","22","3/29/2012 12:00:00 AM","24000.00","Sold","22900.00","4/20/2012 12:00:00 AM"
"7/18/2011 12:00:00 AM","17","5/14/2011 12:00:00 AM","24000.00","Sold","23000.00","5/31/2011 12:00:00 AM"
"6/8/2012 12:00:00 AM","3","5/8/2012 12:00:00 AM","29900.00","Sold","29900.00","5/11/2012 12:00:00 AM"
